benzene,btx,phi,air_excess,T,P,CO,CO_std,CO2,CO2_std,NO,NO_std,NO2,NO2_std,H2O,H2O_std,NH3,NH3_std,SO2,SO2_std,HCHO,HCHO_std,HCOOH,HCOOH_std,CH4,CH4_std,C2H2,C2H2_std,C2H4,C2H4_std,C2H6,C2H6_std,C3H6,C3H6_std,"1,3- C4H6","1,3- C4H6_std",iso-C4H8,iso-C4H8_std,N2O,N2O_std,C7H8,C7H8_std,CH3CHO,CH3CHO_std,CH3COCH3,CH3COCH3_std,CH3COOH,CH3COOH_std,CH3OH,CH3OH_std,DME,DME_std,O2,O2_std,CO_range,CO2_range,NO_range,,nan_std
5,,1,0,113,103,5235.217391,226.2519651,95030.43478,346.9675394,97.69565217,6.446806497,3.013608696,1.926160481,222260.8696,1937.177587,66.90434783,0.613534939,-15.35478261,5.796174117,-0.974056522,2.020403771,-0.446717391,0.440296905,1.214391304,1.209104416,-2.049434783,2.094192156,0.252486957,0.712691936,33.03043478,4.572423115,-1.096804348,1.651842505,0.313521857,0.658638936,1.138695652,0.623488211,1.892391304,0.650985082,-11.18608261,7.676491088,18.49869565,7.325082816,2.744169565,1.961230454,0.926913043,0.817638438,0.346869565,1.14560646,-2.98473913,3.761043652,318.4347826,125.8379297,20000,200000,1000,,
5,,0.8,25,113,103,0.4568,0.323006354,80227.27273,407.2928257,265.2727273,2.962974988,3.358181818,1.034710157,189363.6364,492.3659639,3.094545455,0.430843329,-12.31272727,4.500423453,1.015818182,3.150357223,-0.211890909,0.326921999,1.988209091,1.146067621,-3.033,1.901245957,0.840736364,0.69977481,27.49090909,6.21816916,0.723545455,1.981530931,-0.043809091,0.711137107,0.767636364,0.615239678,2.557272727,0.487307293,-8.775181818,7.517816765,22.07818182,9.859973745,1.38,2.029998827,1.372090909,0.631886737,0.907909091,1.256474012,-9.203272727,5.018544071,43190.90909,248.6326242,200,200000,200,,
5,,1.05,-5,113,103.5833333,14560.41667,394.5628271,86950,251.312345,49.74583333,2.561492849,3.211145833,1.610647101,207604.1667,760.5976413,78.50833333,0.486375784,-14.67208333,5.225418828,0.36719625,2.201897185,-0.029235833,0.342932209,3.1264375,1.373752202,-2.199541667,2.291720062,-6.45833E-05,0.647807549,27.61666667,4.582315357,-1.091258333,1.435695491,-0.127020833,0.693864403,1.068829167,0.68224947,-0.310646875,0.557425652,-15.00883333,7.58008853,17.55541667,7.028471709,2.144104167,1.895075105,1.06800625,0.717487444,-0.230525,1.196454576,-3.995260417,3.627393616,6527.083333,240.5516321,20000,200000,200,,
5,,1.1,-9,113,103,22266.34615,589.0482911,83475.96154,279.9224159,23.67788462,2.954402487,2.889788462,1.527643841,207442.3077,719.9962839,67.02307692,0.613413789,-16.51105769,5.679622345,1.815249038,2.162401471,-0.174763029,0.371468236,3.926471154,1.253956575,-1.503658654,2.402687726,0.201668269,0.683865443,27.51923077,5.657965646,-0.193133654,1.405111728,0.067189038,0.609248926,1.226796154,0.747888495,1.8345,0.700958378,-10.87295192,7.321291287,17.96493269,7.570801244,2.814514423,1.614084284,0.575041346,0.817672,-0.193945192,1.259891817,-3.657259615,4.976719722,9127.788462,9.82520969,39230.76923,200000,200,,
5,,0.91,10,113,103,-0.541467532,0.332901911,90988.31169,772.564531,326.8961039,8.018906443,3.778584416,1.712905305,214155.8442,5580.228718,3.242467532,0.48489917,-15.66558442,5.061719849,0.885637662,2.492706755,0.036125065,0.355676823,1.827597403,1.249355884,-2.374831169,2.602234517,0.310415584,0.74386722,29.65844156,6.341529282,-0.318109091,1.38252773,0.607488312,0.569187269,0.63154961,0.750826909,2.495584416,0.445493025,-5.119311688,7.958326185,20.54311688,7.000831372,1.799938961,2.054895018,1.392503896,0.76401839,0.397320961,1.172517919,-2.880061039,5.144874329,22041.55844,591.9615447,200,200000,1000,,
2,,0.8,25,113,103,1.027821429,1.505749519,67064.28571,198.5396419,237.2857143,2.2584351,2.252857143,1.657844511,212928.5714,465.758754,2.650714286,0.376523361,-12.43835714,5.10570263,0.302107143,1.704842082,-0.272842857,0.339487181,1.318428571,0.857428085,-2.343785714,2.25231812,0.2504,0.77296142,27.38571429,4.399470868,0.177571429,1.955557918,1.248957143,0.926858139,0.766642857,0.645514048,2.234285714,0.402358128,-17.15,11.45429695,27.77,8.304892802,1.136142857,1.876336259,1.508142857,0.731860527,0.323857143,1.42458539,-4.883571429,4.193979119,43650,245.7038265,20000,200000,200,,
2,,1.1,-9,113,103,17838.29787,1389.910369,72746.80851,278.9003474,22.87021277,3.063620382,2.147957447,1.732083312,234468.0851,1657.191092,59.15106383,0.724345412,-18.41468085,4.098129577,0.790723404,2.461883777,-0.283548936,0.344809353,1.912736842,1.414785152,-3.188446809,2.242235595,-0.317787234,0.63082309,31.33829787,6.002169973,-0.305548936,1.340397207,0.265896596,0.817676558,0.855365957,0.583543457,0.881414894,0.701626469,-13.86808511,6.770445464,19.28893617,6.752497661,3.321297872,1.792354743,0.594457447,0.853259574,-0.237011277,1.196065501,-0.660191489,5.29212586,9130.851064,8.999351765,20000,200000,200,,
2,,0.91,10,113,103,-0.437377358,0.47847234,75492.45283,507.7866281,291.5471698,6.442614192,2.60290566,2.149852657,228735.8491,784.3940554,2.870377358,0.408728399,-19.21679245,5.11918363,0.2505,2.174875261,-0.222922642,0.357215601,1.148678113,1.532014912,-2.814566038,2.321963634,0.2823,0.702403489,29.57358491,5.876576617,-0.144932075,1.269628416,0.668779811,0.571645929,0.563235849,0.779346995,2.58754717,0.484683129,-10.16498113,7.729813576,22.3590566,7.289133534,0.643532075,1.582856896,1.591,0.990979909,1.160545283,1.1936718,-6.247518868,5.643663391,23558.49057,704.1195684,200,200000,1000,,
2,,1,0,113,103,3444.814815,432.6823131,79342.59259,285.2130549,143.2222222,7.771663522,1.836109259,1.976894208,252370.3704,1115.67081,52.82592593,0.749376111,-21.11296296,5.401489801,0.663163333,1.963443406,-0.241049074,0.34733265,0.761514815,1.128373446,-3.216864815,2.63784073,-0.41217037,0.76767621,35.01296296,6.039590451,-0.778222222,1.442578584,0.42325,0.623356334,0.775488889,0.595950228,1.815537037,0.576530348,-13.10311111,9.921256017,22.88648148,7.401044422,2.145074074,1.624143586,1.726816667,0.993281891,0.200731481,0.951291286,-4.816566667,4.391533418,196.7407407,19.71401625,20000,200000,1000,,
2,,1.05,-5,113,103.6621622,10472.56757,835.8612989,73027.02703,269.6923404,62.22972973,3.306013063,2.699035135,1.877806617,234594.5946,946.4422305,78.20540541,0.592674531,-21.38932432,4.927213983,1.378936622,2.097076157,-0.121456757,0.326163586,1.268475676,1.218248914,-4.092972973,1.943432814,-0.246062162,0.673461625,30.05405405,6.397090946,-0.646590541,1.219293066,0.294842216,0.572401348,1.147744595,0.764216457,-0.050023243,0.492581074,-12.70035135,7.29957105,21.89905405,7.164390621,2.852454054,1.741751929,0.816428149,0.756379739,-0.326416216,1.05486748,-3.626189189,5.08571933,7930.540541,244.7372151,20000,200000,200,,
2,,1.2,-16.7,113,103,28826.92308,774.3727087,63873.07692,267.9737949,20.95,2.821242947,2.070269231,1.804811903,217038.4615,1203.940238,64.47692308,1.386859251,-14.88807692,4.891389809,1.420769231,2.100001854,-0.373275385,0.294585681,5.635384615,2.478567314,-1.742923077,2.862870449,0.514,0.741170024,27.81923077,5.313838333,-0.566096154,1.687932954,0.305846154,0.599881971,1.115923077,0.744212173,2.503076923,0.646594513,-10.84796538,7.460127687,16.79892308,8.134647356,2.477714231,1.212277397,0.467911538,0.761452638,-0.142757308,1.191733818,-5.055307692,3.44887587,7505.769231,169.0149797,100000,200000,200,,
